date,name,comment,rating
2024-05-25,Don Srambikal,Unable to view hindlabs reports,1.0
2024-05-25,Pawan Kumar Mahato,Super service,5.0
2024-05-25,TUFAIL AHMAD,Very usefull apps,5.0
2024-05-25,Renuka Kabade,Open nahi hora,5.0
2024-05-25,Nelson thokchom,Waste app.. There is no display for hospital details and it's QR code..,1.0
2024-05-25,Jairam Jangid,Good evening dear team Pl. Add AAYUSHMAN BHART & CHIRANJIVI information data then it's useful for all Indian,2.0
2024-05-24,Bhanudas Jawlae,Nice,5.0
2024-05-24,Janaki Ramu,Pin copied text snippets to stop them expiring after 1 hour,4.0
2024-05-24,NIRMAL,The app works well but after registration form the medical staff not accepting the fill-up form worst experience 🙄,1.0
2024-05-24,Tejpratap Rao,better use,5.0
2024-05-23,Mahesh Chandra,Excellent,5.0
2024-05-23,Prajakta Naik,I've already created my abha card but now my app isn't responding...it just show failed token verification failed .. Please check the problem as soon as possible..,1.0
2024-05-23,pm rehan,Waste app,1.0
2024-05-21,M R Enterprise,Super,5.0
2024-05-21,Chiranjib Bordoloi,"What a waste app, not able to enter district name and state name while during emergency and hospital authority only register through abha app so please improve or else close it for now. It's frustrating for family members to register during emergency if app doesn't work properly. Don't let interns make such an important app hire some professionals. Disappointed.",1.0
2024-05-21,Deepak Dubey,Very good app,5.0
2024-05-21,Birjesh kumar,Excellent interference need to be improvement,5.0
2024-05-20,Prashanth Chinna,Nice,5.0
2024-05-20,Muhammad Sajid Khan,Very Good Application.,5.0
2024-05-20,Kamlesh Bopche,Ok,5.0
2024-05-20,Tapas Roy,Awesome!! 💯,5.0
2024-05-19,Vijay Kumar Manchikatla,Need improve,5.0
2024-05-19,Gufran Khan,not working,1.0
2024-05-18,sameer desai,3w3±🙏3±3±±##ss3🙏🙏dd७dciii. O🥰i😘kiijiik. Kini८ni८,3.0
2024-05-18,Srinivasurao Pilla,Super,5.0
2024-05-18,Mukesh Yadav,Useless policy of government not having any benefits,1.0
2024-05-18,HemantkumrNatwarlal Gajjar,Updated resume conversation of health issues and save.,5.0
2024-05-17,Gh Nabi Dar,17 05 .2024,5.0
2024-05-17,pooja vishvkarma,Good,5.0
2024-05-16,vishal sharma,Abha is worst worst when go to hospital ....after online OPD still wait in queue for hard copy . waste of resources and waste of time for patients,1.0
2024-05-16,Bhabatosh Das,Good,5.0
2024-05-16,Dhananay Mahata,📪📫📪📴⛔⛔⏹️⏹️🇵🇾🇵🇾🇵🇾🇵🇾🇵🇾🇵🇾🇵🇾🇵🇾⛔📫,5.0
2024-05-15,lovely babu prem###,very nice application keep improving 👍,5.0
2024-05-15,Nitin Arnold Victor,Token verification failed,1.0
2024-05-15,Atmanand C Satyannavar,Nice,5.0
2024-05-15,hemant kakar,Every time getting some error.,1.0
2024-05-14,Gyogendra Rao,This card is not for treatment only digital health record,1.0
2024-05-14,Mahesh Bollu,Nice,5.0
2024-05-14,Dhruv Srivastava,"Great app, amazing use case",5.0
2024-05-14,kavita talwar,Very good experience,5.0
2024-05-14,Atta Shah,Profile not switching,5.0
2024-05-13,eswara reddy,Super,5.0
2024-05-13,Shrikant kushwaha,It's a good app but I am facing a some issues from the app like I can not add another member in our home like mother father.,5.0
2024-05-13,Omprakash Gupta,Useless.....don't plz don't download,1.0
2024-05-12,Sandeep Kumar,Extremely useful app with easy interface.,5.0
2024-05-11,MOHD AKHALAK,Good,5.0
2024-05-11,Rajoo Gandhar,V nice,5.0
2024-05-10,shankar sharma,Very usefull,5.0
2024-05-09,Shashank Kulkarni,Easy to operate and get card,5.0
2024-05-08,Roger Mike,New Gardiner Road Super Speciality hospital Patna doesnt accept yet,1.0
2024-05-08,Aadil Hussain Dar,Unable to switch profile,1.0
2024-05-08,Manish Kumar,Very very good app अति सुंदर अच्छा future दिया गया है इस app में 👍👍🤗🤗🤗 Good 😊,5.0
2024-05-08,Аbhijeet Singh,Banned 🚫 this app immediately useless and time waste 😡 disgusting roasting zero rating for this 0/10.,1.0
2024-05-07,Vishwashkushboo8 Knushboo,Best,5.0
2024-05-06,Ram Lakhan,My Indian best developer my pm good,5.0
2024-05-06,Rushda Zaid,app is working but in hindupur gov hospital not giving response,1.0
2024-05-05,Nolan Cox (Thackeray001),All Government App Like This app Very very Slow And Not Work The anytime,2.0
2024-05-05,SHISHTLA RAJASHEKAR,I DIDN'T FOUND ANY USE FOR AN ORDINARY EMPLOYEE,1.0
2024-05-05,Dimple Singh,Abha Aadhar mein hospital mein amount khud Dena padta hai jabki 5 lakh tak chhut ki gai hai amount kyon lagta hai,4.0
2024-05-04,anuj kumar,Nice,5.0
2024-05-04,Sumant Behera,Sumantbehera,5.0
2024-05-03,krishna keshab,Ok,5.0
2024-05-03,Khursheed Alam,this app is very helpful,5.0
2024-05-03,KRUNAL MODI,Still Bugg problem not open properly,1.0
2024-05-03,Bhanita Barman,🙏,5.0
2024-05-03,Umar Meer,Application not working properly. .,3.0
2024-05-03,Prem Tank,"That is resolved but another issue occuring is that it is not allowing me to login from any of the login options available phone no, abha no, abha address, as soon as i enter the correct detail it shows unexpected error occurred even though network is working properly, details are also accurate, how will i be able to login then, without login app is useless. Please check the problem as soon as possible.",2.0
2024-05-02,Ram Duggal,Good,5.0
2024-05-01,Dinesh Prasad,"Forget abha option me Login issue aa rha h kafi time try Kiya login nahi ho rha h , very bad 😔 experience in application, please solve the error ,kuch dhang ki application banavo at least",1.0
2024-05-01,Maya Murmu,good,3.0
2024-05-01,Ramesh Choudhary,Not able to check my health records. In all options its showing records not found.,2.0
2024-04-30,Suresh Maity,Good service,4.0
2024-04-30,Chirag Khaire,Can't login,1.0
2024-04-29,Toni Ering,"It is understandable to share location with ABHA, but what is the point of sharing photos and videos ?!!ppease kindly brief, respected developer",1.0
2024-04-28,ashish goyal,Good,5.0
2024-04-27,Alex Samuel,Excellent...Hmm 😊👍✨💯,4.0
2024-04-27,ABINASH SAIKIA,Worst app. I m trying to link my health record but always fail,1.0
2024-04-26,Priya Bala,Good,5.0
2024-04-26,desi boy indian army,Bihar app bihar ke tarah hi kam karta hai,1.0
2024-04-26,M. Sivarama Krishnaiah,Good,5.0
2024-04-25,ashraf collection,Good,5.0
2024-04-24,Vishal Gangotri,Best app,5.0
2024-04-24,Dipak Patil,The app isn't working well. Full of login glitches. Still it is not opening i have uninstalled installed many times but not opening,1.0
2024-04-24,Md Kausar Alam,Bahut faltu app h koi fayda nahi h iska,1.0
2024-04-23,Atul Kumar,"Kindly fix the issue asap, I am unable to see report. App stopped when click on pdf",2.0
2024-04-23,Devndra Laxman bhoir,Nice ap 👌,5.0
2024-04-23,Mm Sreenu,Good,5.0
2024-04-23,Umesh Panday,Acha,2.0
2024-04-23,Hariharan Sivakumar,"I have registered via website and I'm able to see my profile is linked with mobile number and email I'd but when I try to login via app ,it is not working properly and says my profile doesn't have mobile number or email id.so useless I can't link anything or use it",1.0
2024-04-22,Sekhar Sri Sri,I like😎😎😎,5.0
2024-04-22,Yasin Thaslima,So much useful,5.0
2024-04-21,Harsha vardhanan,"This app has the potential to be useful, but it currently falls short due to bugs and incomplete functionality. While many hospitals are adopting the ABAH system, the app's inability to display hospital details.",1.0
2024-04-21,Sandeep Dubey Sir,Good,5.0
2024-04-21,anurag Singh,Good 👍,5.0
2024-04-21,Virajsinh Nakum,"Not Working, Covine Certificate Can't Fetch.",1.0
2024-04-20,亗 SÏNGHVÎKRÅM 亗,What's the purpose of having a useless app if we can't create or make an ID. It's just using fake app.,1.0
2024-04-20,SONU PATSARIYA,Family,1.0
2024-04-19,Arun Aggarwal,good,5.0
2024-04-18,Sujan Mukhopadhyay,Very useful App,5.0
2024-04-18,chinna Life,Use ful,4.0
2024-04-18,Akriti Rai,Nice experience in supaul sadar govt hospital.....,3.0
2024-04-16,gopinathan s Nambiar,great,5.0
2024-04-16,Arun Bohra,vnice,2.0
2024-04-16,Saurav Kumar (Saurav),Good,5.0
2024-04-16,HARI MOHAN Sharma,Tried to link Abha with CGHS Ben Id a number of times. Either OTP will not be rec'd or submit button after entering OTP will not respond.,3.0
2024-04-15,narendra charan,Super level of health promotion All are totally different problems in indentify Because our family community and society are vaccinated,5.0
2024-04-15,Raj Kumar,Linking issue with CGHS card. I am CGHS card holder. I have linked my CGHS card with Abha id but when I tried to link my wife's CGHS card with Abha id it says 64% name matching so I couldn't link it. My wife's name is having tittle name Mrs. Which is creating this issue. Either allow editing title name or link it ignoring title name. Pl do the needful. Raj Kumar,2.0
2024-04-14,Anishetty Venkateshwarlu,Excellent,5.0
2024-04-13,prabhash kumar,"S, u. U. ..msu. I'm, y,,, sorry Sam.. , s,su,s! ,, I, w. N.",5.0
2024-04-13,Avijit Ganguly,Seven days booking means next seven Doctor available day.not calendar day.sun day also in your count.totally unsupported aap .,1.0
2024-04-13,Krutarth Thacker,"I verified my profile via aadhar kyc, still my full name comes on the website abha, but not the app abha, On app just my name comes, father name and surname doesn't come in the card. Even the most basic COWIN vaccination details are not fetched from the system, leave aside the other health programmes, which i may or may not have visited. But i have taken vaccines, so atleast that data should be linked to my abha",1.0
2024-04-13,Amit Shete,Good morning,5.0
2024-04-12,pulakananda bharali,Confusing and slow.,1.0
2024-04-12,Raj Kumari,App is good. I opened it for the first time and it was simple but when I went to hospital I opened and it stopped working. It was opening quickly showing a black screen and closing. I want NHA to solve this thing.,2.0
2024-04-09,Vishal Modi,Abha card very good application,5.0
2024-04-09,Indraj Singh,Useful,5.0
2024-04-07,Tushar Devani,5 year,5.0
2024-04-06,Rajendra Gadekar,👋,5.0
2024-04-06,Suresh Kumar,Nice help full aap,5.0
2024-04-06,Nei thoi sang Phirpu,"Useless app, what about the people who don't have smartphones?",1.0
2024-04-06,A Narayana Pillai,Very Nice,5.0
2024-04-05,Arun Panse,Here not available to option to enter other patients detail,2.0
2024-04-05,Lev Caleb,I found that I can only agree ir disagree with the privacy statements. I would like to be selective. The App requires full and complete consent. Hence I pressed I DISAGREE .,2.0
2024-04-05,Pawan kumar Pawan,Very nice app,5.0
2024-04-04,Biswajit bera,Most helpful,5.0
2024-04-03,Deepak Prasad,Waste of time,1.0
2024-04-03,Gurmukhdas Talreja,Very very nice,5.0
2024-04-03,Dipkumar Panchal,It seems useless to install it.,1.0
2024-04-02,Labanya Devi,Best app,5.0
2024-04-02,Joychandra Saikhom,Good application.,2.0
2024-04-02,Sagar Ankit,Nice,5.0
2024-04-02,Hetal Chauhan,It is not vel,1.0
2024-04-01,navnath molane,Beat working app,2.0
2024-04-01,Vinit Kumar,Very bad app,1.0
2024-04-01,RAMULU GOLI,Very good,4.0
2024-03-31,Praveen Kumar,Slow,3.0
2024-03-31,Arun Dubbewar,Useful app.,4.0
2024-03-31,MD AHMED A S,THIS IS THE MOST USELESS APP. WHERE PATIENTS ID IS FORCED TO USE. HOW DO WE NOW PATIENTS ID?,1.0
2024-03-31,Rangaswami Kasturi,"The App is not working, unable to verify from UID, Mobile and email. Waste of time and data.",1.0
2024-03-31,Rasagna Varma,Needs to improve a lot add more network hospitals as it is not taking any hospitals,1.0
2024-03-30,Arman Khan,Good.,5.0
2024-03-28,Sunil Kumar maurya,Sunil Kumar,5.0
2024-03-27,Aniket kumar Roy,I don't know when i reenter second time it doesn't show anything,3.0
2024-03-27,Raza Khan,Sangam pathology,5.0
2024-03-27,Sai Sharma,I went to rims with H/O of food poison chest pain and internal bleed concern. They gave different records in the app,1.0
2024-03-26,Shubham Pandey,Health care matters,4.0
2024-03-26,team konnect,Ok,5.0
2024-03-26,Muhammad As,Best app,4.0
2024-03-26,Sunil Kumar,Every health problems which discussed Health experts who diagnosis and treat Healthier way without excuses him there medicine and their medical equipments for a worship job if have no any technical issues so government scheme benefits are good.,3.0
2024-03-26,Lungtiawii Awitei,Very good,5.0
2024-03-26,Gokul Patel,Use full,5.0
2024-03-25,Pooja singh,Good 👍,5.0
2024-03-25,Kamal Kanti Chakraborty,Another stupidly showed in the App by Govt. Worthless app,1.0
2024-03-25,tahsin raza,nice,5.0
2024-03-25,ABDUL AHAD,Please provide Name correction option in ayushman card because lots of people face this isshu therefore those people who have a pmjay card name mistake unable to get benefit of Ayushman card & there is no any provision to name correction option in ayushman card fix this as soon as possible 🇮🇳,1.0
2024-03-25,Rameshbhai Patel,Very good,5.0
2024-03-23,Rahul G Kulkarni,Not able to login by any means even though having ABHA number.,1.0
2024-03-23,shwetha gadila,"Very very bad,it's worst app always shows unknown errors occured or session token verification failed while login.",1.0
2024-03-23,subhash kulkarni,"Very useful,user friendly,trustworthy ,dependable",5.0
2024-03-23,Swarnaprbha Sahoo,Prescription is not updated after 27th January. I tried so many time to fetch the data but I didn't get any of my prescription of AIIMS. So if you hav any error in that then ASAP fix it. I face so many issues. I can't able to stand in a line to collect my health report. So quickly fix this issue.,3.0
2024-03-23,Yuva Nagisetty,worst app always displays unknown errors text while trying to login,1.0
2024-03-23,vishal kumar,Useless app. Many times tried to login but failed. Worthless 😡😡😡😡3🥵🥵🥵🥵🥵🥵🥵🥵🥵😂😂,1.0
2024-03-22,Prashant Patil,Looks like this app is same as Modi. Promising everything and fulfilling nothing.,1.0
2024-03-22,Kamran Gul,I found some bugs in your app . please repair these bugs as soon as possible,1.0
2024-03-22,Madhu Kumari,Wrost App not working.. unknown error occured... Failure ...Fayda kya h iss app ka agr eror hi aana h to ... Failure oF NHA,1.0
2024-03-22,Adimulam Appu,Worst app.... Not able to login with ABHA number.,1.0
2024-03-21,Praveen Sharma,I like,5.0
2024-03-21,Rinku Sinha,"This app is so frustrating, whenever I open the app, it says token verification failed, then when I open the profile to link abha number after entering all the details as per profile I get message saying invalid credentials. It so disgusting and dissapointing, even after trying multiple times it the same😠😠",1.0
2024-03-21,Pramod Sonawane,Good app,5.0
2024-03-21,mediboyina mahesh,Useless app. With my mobile number observed other person create Abha numbers. unable to create a new aadhar profile. I don't know how other people added their Abha profiles with my aadhar linked mobile. Many bugs in this app. I am uninstalling it for secure my data.I am giving -100000000 rating to this app.,1.0
2024-03-21,LOKESH KUMAR MAHAWAR,Very Good,5.0
2024-03-21,Ramesh singh,एम्स गोरखपुर में बहुत खराब सेवा। डॉ. ने मरीज की समस्या को ठीक से सूचीबद्ध नहीं किया और जन वितरण काउंटर पर दवा भी ठीक से उपलब्ध नहीं करायी गयी. काउंटर पर दवा के लिए पैसे लिये जा रहे हैं l Very bad service in AIIMS Gorakhpur. Dr. did not list the patient's problem properly and the medicine was not provided properly at the public distribution counter. Money is being taken for medicine over the counter,1.0
2024-03-20,Sugandh Chauhan,Great 😃,5.0
2024-03-20,Chandra shekhar Vishwakarma,Awesome app..,5.0
2024-03-20,Abhay kumar Thakur,Useful very bad koi bhi aadami download mat karo yah fek hai,1.0
2024-03-20,vishvas soni,Why this app requires for my photos and camera permissions,1.0
2024-03-20,Irshad Bhatti,They rejected token and said... Aisa kuchh nahi he yaha.. Line me khade rahiye,1.0
2024-03-19,Captain Roger,bad experiences always error even in good signal network connection useless app,1.0
2024-03-19,Virkumar Rubdi,Very nice,5.0
2024-03-19,Rajnish Rajnish,Good,5.0
2024-03-18,Pratik Ithape,Best,5.0
2024-03-18,Parmanand Pareek,Working well without any problem,5.0
2024-03-18,Eswar R,ENT,3.0
2024-03-17,Virender Kumar,So good,5.0
2024-03-17,Vinayak Rawal,Good for health record but Doctors not up date when consulting,4.0
2024-03-16,imran khan,App aisa banao 10 log gali de,1.0
2024-03-16,Vishnu Kant Jalendra,"Great initiative from Govt of India, Now I have my health records in the app and can share compatible health facilities.",5.0
2024-03-16,Janardhana,not so good,1.0
2024-03-15,Yogesh R,Doesn't allow syncing of abha card details inspite of changes,1.0
2024-03-15,Ahmed Syed,Excellent,5.0
2024-03-14,G Shambulinga,"Good,use full.",4.0
2024-03-14,JagadishChander Rao Chakilam,I am not getting my card,3.0
2024-03-14,BASAVARAJ WADAGERI,Healthy record,4.0
2024-03-13,Tahir Sikander,Good,1.0
2024-03-13,Nagaraja Rao,"I have multiple id not change one id another id,",1.0
2024-03-13,sameer khan,"Useless app, I tried to scan code in Aam Aadmi Clinic, after scanning it doesn't share details and I still have to stand in long waiting line.",1.0
2024-03-13,kumar rvl,better than the best..!,5.0
2024-03-13,SL NEIHSIAL,nice and good app,4.0
2024-03-13,Chandra Shekar,Really useless app cannot upload any records for the namesake they have developed this app,1.0
2024-03-12,Tukaram Gaude,Good,5.0
2024-03-11,Manoj Gangwar,Good,5.0
2024-03-11,REETESH KUMAR AGRAWAL,Try to link my account through aadhar. it's no accepting OTP of aadhar no,1.0
2024-03-11,Jyotshana Jha,Best aap,5.0
2024-03-11,K Satish Kumar Naidu,Good.,1.0
2024-03-11,Sankra Rao Padala,Very good,5.0
2024-03-09,Ravindra V,App issue was resolved quickly. Thanks.,5.0
2024-03-08,kmr YouTuber,Worst👎 app i have ever seen whenever i want to open this app during emergency it shows ( retry network connection error) i suggest everyone please don't install this aap,1.0
2024-03-08,seena poojari,Amazing,5.0
2024-03-08,manja s,Amazing 😍,5.0
2024-03-08,Ashwini Poojarti,Amazing app. Must download,5.0
2024-03-07,Sukhwinder Singh,Nice aap,4.0
2024-03-07,Rahul Satu0502,"No anything work, this is only for Scams",1.0
2024-03-06,Ravichandran T,Good,5.0
2024-03-06,Mayank Agrawāl,सब चीज़ होने के बावजूद भी लॉगिन नहीं होता है।,1.0
2024-03-05,Brahma Chary,Not working,1.0
2024-03-05,KEBI SANGMA,"No.... It's always says the same. I m working in a state gov. Hospital. And under e-hospital portal abha are commonly used to register the OPD patients. And this what the problem we face. Even multiple time trying all in vain, instead we have to manually enter the details. No use of scan and share mode.😒",1.0
2024-03-05,Om Arjun Hegade,Nice,5.0
2024-03-05,Aditya Kumar,हमने टोल फ्री नंबर पे बात करना चाहा तो कॉल लगने के बाद भी कॉल पे कोई कुछ बोले भी नहीं और कॉल काट दिए। कम से कम बात भी तो करना चाहिए। कुछ जानकारी लेना है तो किससे जाके पूछेगा बताइये। मोदी जी,2.0
2024-03-05,Rajesh Khajuria,Well done👍,5.0
2024-03-05,Dr.Kiran Patil,Excellent,5.0
2024-03-05,Priyanka Kumari,Thank ABHA,5.0
2024-03-05,Amar Kodur,Modi hai toh Munkin hai,5.0
2024-03-04,Sonu Sharma,Good options,4.0
2024-03-04,All india Tours,Bakwash app or modi ji ki yojna koi govt hospital bhi accept nahi kar rahe ayusmaan card ko kyoki subko grib ko lutna hai,1.0
2024-03-04,Pradip Mukhopadhyay,Good,5.0
2024-03-04,SANTOSH KUMAR ACHARYA,This is a useless app,1.0
2024-03-03,Rahul Gupta,In Bihar some Cyber Cafe's are issuing this card as Ayushman Bharat Yojana 5 Lakh Benifit and fooling people that they will recieve Medical Expense Benefit.,3.0
2024-03-03,Shoaib Faridi,Its not working properly,1.0
2024-03-02,Ashok Patro,Good app,5.0
2024-03-01,govind jaiswal,really great app thank you so much,5.0
2024-02-29,Prashik Nagre,Line madhe laga nh lagat ok,4.0
2024-02-29,REHAAN Malik,VIRAT KOHLI 😈😈😈,5.0
2024-02-28,Suprabhat Choudhury,Application is working fine.,5.0
2024-02-28,Viswajeet Dada,Very good 💯 super power,5.0
2024-02-28,Dr. Kavita Sachdeva,I didnot got abha number tried 20 times Plus our information is shared at so many site Already receive so many spam calls,1.0
2024-02-27,Bhavik Vora,Not working properly I tried for long to open app but it's continuously tack load,1.0
2024-02-27,Mohammed Tariq ahmed,Good good,4.0
2024-02-27,Pradeep Modi,Nice,5.0
2024-02-27,Subha Sur Roy,Good app,5.0
2024-02-27,Dinabandhu patra,Good app for good health. Easy to use and make yourself desease free with this app and get Health Card Status with this great app,5.0
2024-02-27,Krishna D Raju,Ok,5.0
2024-02-26,Vanshika Deval,Utterly useless app!,1.0
2024-02-26,Rajesh Khanna,Ok,5.0
2024-02-26,Vinay,"Now I am able to login but there is one more issue which is I am not able to get my cowin details (it's saying ""could not find"")",4.0
2024-02-26,M. Z. Baber,"Useless App. It never works, it never integrate with other apps, it never show health records. Edit : Your reply is not correct. It still is not able to fetch records",1.0
2024-02-26,Soumik Dhar,Working awesome,5.0
2024-02-25,PINTU thakor,App doesn't start,1.0
2024-02-24,Nistalasrinivas Sharma,Jai Mata di ji.,5.0
2024-02-23,PINKESH MEHTA,What a worst experience always show unexpected error not able to create new id or not able to login with mobile number. Even websites are giving error.,1.0
2024-02-23,Mintu Biswas,Slowly proceed but useful application.,5.0
2024-02-22,065_ WakeelKumar,if there was a 0 rating option i would definitely give that....i tried to login in emergency...it is showing otp invalid....bakwas app with no backwas the government should hire better developers ..,1.0
2024-02-22,Sunil Kumar,Because application get crash everytime. Login ID get stuck while proceeding further,1.0
2024-02-22,Niladri Naskar,Most disguting application,1.0
2024-02-22,Prasad Gh,"This app doesnot go to next stage, tried 100 times to login...",1.0
2024-02-22,hl aircondition,Very bed,1.0
2024-02-22,piyush tag,Login problem,1.0
2024-02-22,Irshad Ahmad,Good step towards digital system,5.0
2024-02-22,Mani Veera,Login problem,1.0
2024-02-22,Aryan kumar,This app is not work,1.0
2024-02-22,Abid Hussain,Plz update ur app I am not able to login. Plz update I'm very upset with ur service,1.0
2024-02-22,Kiruthika Murugan,worst app not working properly.... I've to login n scan fr maternity checkup but it doesn't opening ... really a stress 😬 buliding app...,1.0
2024-02-22,Milind Dhumale,"very confusing, can't getting abha number entered name says invalid. find some good developers.uninstalled now. edited - i have used today 22/2/2024 still not working.dont use this app , use DRiefcase app it works smoothly.i think ABha used some old machinery which is outdated.",1.0
2024-02-22,Jagseer Singh,Can't login all options,1.0
2024-02-22,Ramchandra Ambradkar,Login issue.... I can't do login into this application.,1.0
2024-02-22,Rohit,some times login failed. (22/feb/2024),1.0
2024-02-22,SUNNY KUMAR,Login nhi ho rha account...plz solve this problem,1.0
2024-02-21,Nikhil Redekar,भै माझा. मित्र किती पण नाल्ला असला तरी चांगला सॉफ्टवेअर इंजिनियर हाय जास्त पैसे नाय घेणार तो तू बोलतो तर त्याला सांगतो ॲप बनवायला तो याचा पेक्षा चांगला ॲप बनवून देईल 🙂,1.0
2024-02-21,Manzoor,In Morning I was in severe pain that time my Abha I'd not working shows that unoccured error comes I am unable to login it Then I remain in Queue about 90 minutes to get the OPD card Bad service provided by the government I requested to Health Minstries to improve your service otherwise Old system good,2.0
2024-02-21,Manoj Chakravarti,Slow,1.0
2024-02-21,Masood Ibn Yasin,Not working properly with Android 14... Unable to login.,1.0
2024-02-21,Simran Jan,worest app. i saw in my life i instal this app so many times but very time it does not work on my new smart phone no stars,1.0
2024-02-21,Arshad Khan,Useless till now.,1.0
2024-02-21,Muneeb,Doesn't work on A14 fix it,1.0
2024-02-20,Garima Singh,No open,5.0
2024-02-20,Keshav S,Only first time the app opens,1.0
2024-02-20,Gautam Kumar,This is app very helpful and healthy life is Happy,5.0
2024-02-20,Shivam Kumar,आप ने अपना इंटरनेट कनेक्शन को दिया है। Error show ho rhi hai,1.0
2024-02-19,Ashwani Kumar,Good,5.0
2024-02-19,Trambkeshwar Magotra,Bhaisaab update karo isko bekaar hai yeh app,1.0
2024-02-19,Sairam Palli,After getting OTP Not working properly,1.0
2024-02-19,Rameshbhai Mehta,Good,5.0
2024-02-18,Angouba Sanasam,One of the failed apps Manipur govt has been launching so far. Abha number can't link to the address & some technical error always pop up 100 times. Be double check the app before launching it. We're really tired of your failures.,1.0
2024-02-18,Himadri Sahu,Help fully app,5.0
2024-02-18,nirmala mudumbai,Excellent 👍,5.0
2024-02-18,Rajakani M Rajakani,Vote for BJP BJP,5.0
2024-02-17,Akshay Chaudhari,Very slow app and update aata hai jldi jldi,1.0
2024-02-17,Vimal Paswan,Presan krne ke liye hai faltu ka,1.0
2024-02-17,talbir singh,Please download my app,5.0
2024-02-17,Sunil kumar Vasudeavan nair,My card details,5.0
